gageid,agency,domain
15056210,USGS,Alaska
15200280,USGS,Alaska
15209700,USGS,Alaska
15226620,USGS,Alaska
15236900,USGS,Alaska
15238600,USGS,Alaska
15238978,USGS,Alaska
15238986,USGS,Alaska
15239050,USGS,Alaska
15243900,USGS,Alaska
15258000,USGS,Alaska
15266110,USGS,Alaska
15271000,USGS,Alaska
15272380,USGS,Alaska
15274600,USGS,Alaska
15275100,USGS,Alaska
15276000,USGS,Alaska
15281000,USGS,Alaska
15283700,USGS,Alaska
15284000,USGS,Alaska
15290000,USGS,Alaska
15292000,USGS,Alaska
15292700,USGS,Alaska
15292800,USGS,Alaska
15293200,USGS,Alaska
15293700,USGS,Alaska
15294005,USGS,Alaska
15493000,USGS,Alaska
01010000,USGS,CONUS
01011000,USGS,CONUS
01013500,USGS,CONUS
01015800,USGS,CONUS
01021480,USGS,CONUS
01027200,USGS,CONUS
01029200,USGS,CONUS
01029500,USGS,CONUS
01030500,USGS,CONUS
01031300,USGS,CONUS
01031500,USGS,CONUS
01031510,USGS,CONUS
01037380,USGS,CONUS
01038000,USGS,CONUS
01044550,USGS,CONUS
01046000,USGS,CONUS
01047000,USGS,CONUS
01047200,USGS,CONUS
01048000,USGS,CONUS
01048220,USGS,CONUS
01052500,USGS,CONUS
01054200,USGS,CONUS
01054300,USGS,CONUS
01055000,USGS,CONUS
01057000,USGS,CONUS
01064500,USGS,CONUS
01064801,USGS,CONUS
01067950,USGS,CONUS
01069700,USGS,CONUS
01073000,USGS,CONUS
01073500,USGS,CONUS
01074520,USGS,CONUS
01075000,USGS,CONUS
01077400,USGS,CONUS
01078000,USGS,CONUS
01082000,USGS,CONUS
01086000,USGS,CONUS
01089100,USGS,CONUS
01091000,USGS,CONUS
01093852,USGS,CONUS
01095220,USGS,CONUS
01096000,USGS,CONUS
010965852,USGS,CONUS
01097000,USGS,CONUS
01100600,USGS,CONUS
01101000,USGS,CONUS
01105000,USGS,CONUS
01105933,USGS,CONUS
01108000,USGS,CONUS
01115187,USGS,CONUS
01115630,USGS,CONUS
01116905,USGS,CONUS
01117370,USGS,CONUS
01117468,USGS,CONUS
01117800,USGS,CONUS
01118000,USGS,CONUS
01121000,USGS,CONUS
01123000,USGS,CONUS
01127500,USGS,CONUS
01130000,USGS,CONUS
01134500,USGS,CONUS
01135300,USGS,CONUS
01135500,USGS,CONUS
01137500,USGS,CONUS
01139000,USGS,CONUS
01142500,USGS,CONUS
01144000,USGS,CONUS
01150900,USGS,CONUS
01152500,USGS,CONUS
01154000,USGS,CONUS
01162500,USGS,CONUS
01169000,USGS,CONUS
01170100,USGS,CONUS
01171500,USGS,CONUS
01174565,USGS,CONUS
01181000,USGS,CONUS
01187300,USGS,CONUS
01193500,USGS,CONUS
01194000,USGS,CONUS
01194500,USGS,CONUS
01197500,USGS,CONUS
01198000,USGS,CONUS
01200000,USGS,CONUS
01201487,USGS,CONUS
012035055,USGS,CONUS
01203805,USGS,CONUS
01208990,USGS,CONUS
01321000,USGS,CONUS
01330000,USGS,CONUS
01332500,USGS,CONUS
01333000,USGS,CONUS
01334000,USGS,CONUS
01343060,USGS,CONUS
01350000,USGS,CONUS
01350035,USGS,CONUS
01350080,USGS,CONUS
01350140,USGS,CONUS
01362200,USGS,CONUS
0136230002,USGS,CONUS
01362370,USGS,CONUS
01362497,USGS,CONUS
01363382,USGS,CONUS
01365000,USGS,CONUS
01367500,USGS,CONUS
01372500,USGS,CONUS
0137449480,USGS,CONUS
01374559,USGS,CONUS
0137462010,USGS,CONUS
01374781,USGS,CONUS
01374890,USGS,CONUS
01379000,USGS,CONUS
01381400,USGS,CONUS
01384500,USGS,CONUS
