name,description,units,data_type,calibratable,source,min,max,default_value,divide_attr_name,source_file 
RSURF_EXP,Exponent in the resistance equation for soil evaporation,NA,double,True,const,1,6,4.84,,
CWPVT,Canopy wind parameter for canopy wind profile formulation,m-1,double,True,const,0.09,0.36,0.18,,
VCMX25,Maximum carboxylation at 25oC,umol/m2/s,double,True,const,24,112,52.2,,
MP,Slope of Ball-Berry conductance relationship,NA,double,True,const,3.6,12.6,9.7,,
MFSNO,Melt factor for snow depletion curve,NA,double,True,const,0.5,4,2,,
RSURF_SNOW,Soil surface resistance for snow,s/m,double,True,const,0.136,100,49.2,,
SCAMAX,Maximum fractional snow cover area,NA,double,True,const,0.7,1,0.89,,
ISLTYP,Soil type,NA,integer,False,attr,,,,mode.ISLTYP,
IVGTYP,Vegetation type,NA,integer,False,attr,,,,mode.IVGTYP,
longitude,longitude,degrees,double,False,attr,-180,180,,centroid_x,
latitude,latitude,degrees,double,False,attr,-90,90,,centroid_y,
slope,slope of terrain,degrees,double,False,attr,0,90,,mean.slope,
azimuth,azimuth,degrees,double,False,attr,0,360,,circ_mean.aspect,
